0,0.947539,0.947539
1,0.984588,0.984588
2,0.816340,0.816340
0,0.536546,0.536546
1,0.061678,0.061678
2,0.877255,0.877255
0,0.617054,0.617054
1,0.697775,0.697775
2,0.432173,0.432173
0,0.527970,0.527970
1,0.653676,0.653676
2,0.624104,0.624104
0,0.187597,0.187597
1,0.162328,0.162328
2,0.641682,0.641682
3,0.659291,0.659291
4,0.829340,0.829340
5,0.352367,0.352367
6,0.336467,0.336467
7,0.265877,0.265877
3,0.326304,0.326304
4,0.908658,0.908658
5,0.472243,0.472243
6,0.605976,0.605976
7,0.962157,0.962157
3,0.124058,0.124058
4,0.437117,0.437117
5,0.343730,0.343730
6,0.454390,0.454390
7,0.027833,0.027833
3,0.945494,0.945494
4,0.298410,0.298410
5,0.401898,0.401898
6,0.997467,0.997467
7,0.813746,0.813746
3,0.111515,0.111515
4,0.410443,0.410443
5,0.742515,0.742515
6,0.923673,0.923673
7,0.757073,0.757073
8,0.482467,0.482467
9,0.135655,0.135655
10,0.034822,0.034822
11,0.197089,0.197089
12,0.322825,0.322825
8,0.270089,0.270089
9,0.368053,0.368053
10,0.563066,0.563066
11,0.402387,0.402387
12,0.438124,0.438124
8,0.564837,0.564837
9,0.450606,0.450606
10,0.353954,0.353954
11,0.597125,0.597125
12,0.602222,0.602222
8,0.512009,0.512009
9,0.242103,0.242103
10,0.064241,0.064241
11,0.760155,0.760155
12,0.086550,0.086550
8,0.077425,0.077425
9,0.409345,0.409345
10,0.711814,0.711814
11,0.650716,0.650716
12,0.572894,0.572894
13,0.597247,0.597247
14,0.749382,0.749382
15,0.668416,0.668416
16,0.324564,0.324564
17,0.997650,0.997650
13,0.395337,0.395337
14,0.665822,0.665822
15,0.621570,0.621570
16,0.955138,0.955138
17,0.344676,0.344676
